Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Total Funding Amount
MoviePass,https://www.crunchbase.com/organization/moviepass,"Apps, Media and Entertainment, Subscription Service","New York, New York, United States",MoviePass employs location-based technologies to allow individuals to watch movies at local theaters for a fixed monthly price.,141,https://www.moviepass.com/,https://www.linkedin.com/company/2317905/,info@moviepass.com,877-646-2892,"Hamet Watt, Stacy Spikes",1-10,2,M&A,2014-09-26,"$2,200,000","$3,700,000"
OWKIN,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Software","New York, New York, United States",Machine learning for medical research.,333,http://www.owkin.com,https://www.linkedin.com/company/owkin,contact@owkin.com,,"Gilles Wainrib, Thomas Clozel",11-50,3,Early Stage Venture,2018-05-23,"$5,000,000","$18,100,000"
BigID,https://www.crunchbase.com/organization/bigid,"Big Data, Network Security, Security","New York, New York, United States",BigID develops software that helps companies secure their customer data and satisfy privacy regulations like GDPR.,420,https://www.bigid.com,https://www.linkedin.com/company/bigid,info@bigid.com,(917) 765-5752,"Dimitri Sirota, Nimrod Vax",11-50,3,Early Stage Venture,2018-01-29,"$14,000,000","$16,099,999"
Emogi,https://www.crunchbase.com/organization/emogi,"Advertising, Analytics, Big Data, Information Technology","New York, New York, United States",To enrich conversations everywhere with useful content in the place where people share the most -- messaging.,458,http://www.emogi.com/,http://www.linkedin.com/company/2521585,support@emogi.com,,Travis Montaque,11-50,3,Early Stage Venture,2018-05-30,"$12,600,000","$18,800,000"
Current,https://www.crunchbase.com/organization/current-6,"Finance, Financial Services, FinTech","New York, New York, United States",Current is debit card and app for teeangers.,478,https://current.com,https://www.linkedin.com/company-beta/10270508/,hello@current.com,,Stuart Sopp,11-50,3,Early Stage Venture,2018-02-27,"$1,000,000","$9,600,000"
Perch,https://www.crunchbase.com/organization/perch-34e2,"Commercial Real Estate, Property Management, Real Estate, Real Estate Investment","New York, New York, United States",Perch is a real estate company that transforms and simplify the way people buy and sell their homes.,637,https://www.perchhomes.co,https://www.linkedin.com/company/perchhomes/,support@perchhomes.co,,"Court Cunningham, Phil DeGisi",11-50,2,Early Stage Venture,2018-05-10,"$30,000,000","$30,000,000"
Maisonette,https://www.crunchbase.com/organization/maisonette,Internet,"New York, New York, United States",Maisonette is a children’s clothing and lifestyle e-commerce site.,732,https://www.maisonette.com/,https://www.linkedin.com/in/luisana-mendoza-de-roccia-790197126/,info@maisonette.com,(844)624-7663,"Luisana Mendoza de Roccia, Sylvana Ward Durrett",11-50,2,Early Stage Venture,2018-05-17,"$15,000,000","$17,700,000"
Scentbird,https://www.crunchbase.com/organization/scentbird,"Beauty, E-Commerce, Personalization, Subscription Service","New York, New York, United States",Scentbird enables its users to choose and get supply of sample designer fragrances on a monthly basis before buying them.,"1,029",http://scentbird.com,http://www.linkedin.com/company/4997584,info@scentbird.com,,"Andrei Rebrov, Mariya Nurislamova, Rachel ten Brink, Sergey Gusev",1-10,4,Early Stage Venture,2018-05-17,"$18,600,000","$22,440,000"
VidMob,https://www.crunchbase.com/organization/vidmob,"Advertising Platforms, Marketplace, Social Media Advertising, Video","New York, New York, United States", The world's leading video creation network and platform.,"1,047",http://vidmob.com/,https://www.linkedin.com/company/vidmob,support@vidmob.com,347-960-6554,"Alex Collmer, Craig Coblenz, Jason Donnell",11-50,3,Early Stage Venture,2018-05-12,"$6,400,000","$19,900,000"
Buoy Health,https://www.crunchbase.com/organization/buoy-health,"Artificial Intelligence, Health Care, mHealth","Boston, Massachusetts, United States",Buoy is an online symptom and cure checker that uses an intelligent algorithm backed by medical data to diagnose patients.,"1,168",https://www.buoyhealth.com/,https://www.linkedin.com/company/buoy-health,support@buoyhealth.com,,"Adam Lathram, Andrew Le, Eddie Reyes, Nathanael Ren",1-10,3,Early Stage Venture,2017-08-09,"$6,700,000","$9,000,000"
